epoch,step,train_loss,train_loss_epoch,val_loss_epoch
,1221,0.0053116013295948505,,
,2442,0.004612492397427559,,
,3663,0.0039754584431648254,,
,4884,0.004026006907224655,,
,6103,0.0033960947766900063,,
0,6103,,0.00468110665678978,
0,6103,,,0.003432561769379211
,7324,0.003467647125944495,,
,8545,0.003271964145824313,,
,9766,0.003057799767702818,,
,10987,0.0033319874200969934,,
,12206,0.0028918618336319923,,
1,12206,,0.0032255619298666716,
1,12206,,,0.002881494461421351
,13427,0.0030574966222047806,,
,14648,0.002769365208223462,,
,15869,0.002984846942126751,,
,17090,0.002636486664414406,,
,18309,0.003067955607548356,,
2,18309,,0.002859678817912936,
2,18309,,,0.0026525745939341237
,19530,0.002669637557119131,,
,20751,0.0024653684813529253,,
,21972,0.002829537261277437,,
,23193,0.0027545562479645014,,
,24412,0.002740909345448017,,
3,24412,,0.00264093023724854,
3,24412,,,0.0024722958495077053
,25633,0.0024685815442353487,,
,26854,0.002585221780464053,,
,28075,0.0024065496399998665,,
,29296,0.002442152239382267,,
,30515,0.0025440207682549953,,
4,30515,,0.0024868163745850325,
4,30515,,,0.0023526027111611405
,31736,0.0023740273900330067,,
,32957,0.0023585523013025522,,
,34178,0.0024277218617498875,,
,35399,0.0024322064127773046,,
,36618,0.002300046617165208,,
5,36618,,0.0023772940039634705,
5,36618,,,0.0022564969697325935
,37839,0.002294001402333379,,
,39060,0.002323905937373638,,
,40281,0.0021244839299470186,,
,41502,0.0021944206673651934,,
,42721,0.0021231567952781916,,
6,42721,,0.002300130669027567,
6,42721,,,0.0022155572049564025
,43942,0.002335943281650543,,
,45163,0.0022105826064944267,,
,46384,0.0021815644577145576,,
,47605,0.0022005303762853146,,
,48824,0.0021251586731523275,,
7,48824,,0.002232291968539357,
7,48824,,,0.0021826306884711395
,50045,0.0021058078855276108,,
,51266,0.0020993216894567013,,
,52487,0.0021511237137019634,,
,53708,0.0020684371702373028,,
,54927,0.002204038668423891,,
8,54927,,0.0021766687277704477,
8,54927,,,0.00209422076510296
,56148,0.002150478772819042,,
,57369,0.00209611002355814,,
,58590,0.0020139412954449654,,
,59811,0.002099275588989258,,
,61030,0.0020453501492738724,,
9,61030,,0.0021305354312062263,
9,61030,,,0.002063881174554346
,62251,0.0020200819708406925,,
,63472,0.0021394449286162853,,
,64693,0.002098298165947199,,
,65914,0.0019575455226004124,,
,67133,0.0019689188338816166,,
10,67133,,0.002092242008075118,
10,67133,,,0.002046247205666465
,68354,0.002221762202680111,,
,69575,0.0019511578138917685,,
,70796,0.0019749761559069157,,
,72017,0.002135610207915306,,
,73236,0.0018757886718958616,,
11,73236,,0.0020619239658117294,
11,73236,,,0.001996571764914838
,74457,0.002131859539076686,,
,75678,0.0021066884510219097,,
,76899,0.0021235032472759485,,
,78120,0.0020161496941000223,,
,79339,0.002059134654700756,,
12,79339,,0.00203435099683702,
12,79339,,,0.0019702559974441518
,80560,0.001997683197259903,,
,81781,0.0019783005118370056,,
,83002,0.0019376155687496066,,
,84223,0.0020211413502693176,,
,85442,0.002021068474277854,,
13,85442,,0.002006425056606531,
13,85442,,,0.0019649150227883556
,86663,0.00209521921351552,,
,87884,0.002183494856581092,,
,89105,0.002038269303739071,,
,90326,0.002025673631578684,,
,91545,0.0019659949466586113,,
14,91545,,0.001986132236197591,
14,91545,,,0.0019424551941423875
,92766,0.001933228108100593,,
,93987,0.0021200852934271097,,
,95208,0.0019338903948664665,,
,96429,0.0020683102775365114,,
,97648,0.001960923196747899,,
15,97648,,0.0019664952997118235,
15,97648,,,0.0019294224816878312
,98869,0.002200367860496044,,
,100090,0.0019181929528713226,,
,101311,0.001976200146600604,,
,102532,0.002075850497931242,,
,103751,0.0018034807872027159,,
16,103751,,0.00194863835349679,
16,103751,,,0.0019009570461377258
,104972,0.0019183437107130885,,
,106193,0.0019134175963699818,,
,107414,0.0018799935933202505,,
,108635,0.0020016112830489874,,
,109854,0.001865123282186687,,
17,109854,,0.001931689097546041,
17,109854,,,0.0018751650750942405
,111075,0.0019502452341839671,,
,112296,0.0019332913216203451,,
,113517,0.0020634010434150696,,
,114738,0.0019908291287720203,,
,115957,0.00203230744227767,,
18,115957,,0.001915408531203866,
18,115957,,,0.0019028407624602074
,117178,0.0018731157761067152,,
,118399,0.0018528413493186235,,
,119620,0.0017909826710820198,,
,120841,0.0018588770180940628,,
,122060,0.0018675837200134993,,
19,122060,,0.0019006272777915,
19,122060,,,0.0018777597493293589
,123281,0.0017751618288457394,,
,124502,0.0019400299061089754,,
,125723,0.002100367099046707,,
,126944,0.001995844766497612,,
,128163,0.001884778612293303,,
20,128163,,0.0018892588559538126,
20,128163,,,0.0018472494557499886
,129384,0.0019573611207306385,,
,130605,0.0018459470011293888,,
,131826,0.0019139081705361605,,
,133047,0.0018671650905162096,,
,134266,0.0018498533172532916,,
21,134266,,0.0018768389709293842,
21,134266,,,0.001808268208911673
,135487,0.0018901145085692406,,
,136708,0.0016752032097429037,,
,137929,0.0018684654496610165,,
,139150,0.0018921552691608667,,
,140369,0.0018218522891402245,,
22,140369,,0.001866112812422216,
22,140369,,,0.001821578018458896
,141590,0.0018337384099140763,,
,142811,0.0019312482327222824,,
,144032,0.001852517481893301,,
,145253,0.0017740093171596527,,
,146472,0.002015796722844243,,
23,146472,,0.00185268500354141,
