epoch,step,train_loss,train_loss_epoch,val_loss_epoch
,367401,0.0016624971758574247,,
,368622,0.0016886882949620485,,
,369843,0.001685366965830326,,
,371064,0.0016817246796563268,,
,372283,0.001699273008853197,,
59,372283,,0.0016676386585459113,
59,372283,,,0.0016287133292310306
,373504,0.001781955361366272,,
,374725,0.0018328052246943116,,
,375946,0.0016556025948375463,,
,377167,0.0017026327550411224,,
,378386,0.0017196633853018284,,
60,378386,,0.0016686785966157913,
60,378386,,,0.0016366894944708367
,379607,0.0016810967354103923,,
,380828,0.0016027175588533282,,
,382049,0.001785502303391695,,
,383270,0.0017109704203903675,,
,384489,0.0017080896068364382,,
61,384489,,0.0016642074333503842,
61,384489,,,0.0016446290575883916
,385710,0.0016962853260338306,,
,386931,0.0016411790857091546,,
,388152,0.001737263286486268,,
,389373,0.0016113282181322575,,
,390592,0.0016296128742396832,,
62,390592,,0.0016612575855106115,
62,390592,,,0.0016376266149101687
,391813,0.0016324237221851945,,
,393034,0.0016476905439049006,,
,394255,0.0016635518986731768,,
,395476,0.0016075274907052517,,
,396695,0.0015608174726366997,,
63,396695,,0.0016591778257861733,
63,396695,,,0.0016431220211699361
,397916,0.0015215082094073296,,
,399137,0.001748648239299655,,
,400358,0.0016119345091283321,,
,401579,0.0016559672076255083,,
,402798,0.0016102290246635675,,
64,402798,,0.0016566766425967216,
64,402798,,,0.0016378701595803264
,404019,0.0016199618112295866,,
,405240,0.001793447183445096,,
,406461,0.0016744342865422368,,
,407682,0.0016924935625866055,,
,408901,0.001708991127088666,,
65,408901,,0.0016547610284760594,
65,408901,,,0.0016245556819695429
,410122,0.0016568363644182682,,
,411343,0.0016198179218918085,,
,412564,0.0016000644536688924,,
,413785,0.0015409354818984866,,
,415004,0.0015162043273448944,,
66,415004,,0.0016521778889000416,
66,415004,,,0.0016352414958881306
,416225,0.0015172380954027176,,
,417446,0.0016362592577934265,,
,418667,0.0016569383442401886,,
,419888,0.0016379726585000753,,
,421107,0.001833966001868248,,
67,421107,,0.0016490963753312826,
67,421107,,,0.0016260308320405054
,422328,0.0016873697750270367,,
,423549,0.0016672122292220592,,
,424770,0.0015813589561730623,,
,425991,0.001761128893122077,,
,427210,0.0015561201144009829,,
68,427210,,0.0016477148747071624,
68,427210,,,0.0016391220804090139
,428431,0.0017250075470656157,,
,429652,0.0017207842320203781,,
,430873,0.0016255259979516268,,
,432094,0.0016927169635891914,,
,433313,0.0014963727444410324,,
69,433313,,0.0016430392861366272,
69,433313,,,0.0016275878106320246
,434534,0.0017082663252949715,,
,435755,0.0016751596704125404,,
,436976,0.001653624465689063,,
,438197,0.001678194967098534,,
,439416,0.001585718709975481,,
70,439416,,0.0016421047039330006,
70,439416,,,0.0016244771855990173
,440637,0.00166404340416193,,
,441858,0.0015646188985556364,,
,443079,0.001691980753093958,,
,444300,0.0016233279602602124,,
,445519,0.0017175014363601804,,
71,445519,,0.001642142771743238,
71,445519,,,0.0016272471698581196
,446740,0.0015420024283230305,,
,447961,0.001597171532921493,,
,449182,0.001719220308586955,,
,450403,0.00163329450879246,,
,451622,0.0016733086667954922,,
72,451622,,0.001638313988223672,
72,451622,,,0.0016292633171971949
,452843,0.0016647379379719496,,
,454064,0.0017239500302821398,,
,455285,0.0015425632009282708,,
,456506,0.001744566485285759,,
,457725,0.001628626137971878,,
73,457725,,0.0016365874325856566,
73,457725,,,0.0016188050666060604
,458946,0.001648368313908577,,
,460167,0.0016182963736355305,,
,461388,0.001623877207748592,,
,462609,0.0015619401820003986,,
,463828,0.0015362839912995696,,
74,463828,,0.0016351970843970776,
74,463828,,,0.0016165961202264565
,465049,0.0017271419055759907,,
,466270,0.00152982072904706,,
,467491,0.0017405515536665916,,
,468712,0.00166747544426471,,
,469931,0.001636142493225634,,
75,469931,,0.0016340557485818863,
75,469931,,,0.0016160564302451542
,471152,0.0016422511544078588,,
,472373,0.001667284406721592,,
,473594,0.001661250600591302,,
,474815,0.0016814429545775056,,
,476034,0.0016912063583731651,,
76,476034,,0.0016300766728818417,
76,476034,,,0.0016358228396532721
,477255,0.001685647526755929,,
,478476,0.0015859274426475167,,
,479697,0.0015500735025852919,,
,480918,0.0015946186613291502,,
,482137,0.0016404492780566216,,
77,482137,,0.00163045444060117,
77,482137,,,0.0016121918957710999
,483358,0.0015901261940598488,,
,484579,0.0016187375877052546,,
,485800,0.0016650211764499545,,
,487021,0.0016291143838316202,,
,488240,0.0014861919917166233,,
